Audio File Location,Whisper Transcribe Text,Model Generated Text
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_nVgnEpm.wav, Hello my account number is 985682139,985682139
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_NBaImCA.wav," Yes, max priority date is 15 November 2027.",2,11/27/27
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_ZERiQHZ.wav," Yes, my expiry date is November 27.",2,11/27/2023
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_DtQWHIW.wav," Yes, my CVC is 357",3,357
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_XOjVezo.wav," Yes, my credit card number is 452636985695. Yes.",1,452636985695
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_unXRq7C.wav," Hello, my account number is 93286112359",0,93286112359
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_uYxEryR.wav, hello yes my expiry date is 11 25,Exp Date,11/25
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_KO7vk8s.wav, yes my expiry date is November 2025,Exp Date,11/25
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_JlaIMCg.wav," Yes, my expiry date is 2025 and month is November.",Exp Date,11/25
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_keOZ4L4.wav," Yes, the expiry month is August and let me check the year and expiry year is 2031.",Exp Date,08/31
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_cJk3GdQ.wav," Yes, my credit card number is 4367394812374568",CC No,4367394812374568
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_BTG2Puo.wav," Hi, my credit card number is 1, 2, 3, 4, no, no, 6, 7, oh no, no, 10, 12.",CC No,1234671012
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_C8BeXI2.wav, my credit card number is my credit card number is 122433377,CC No,122433377
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_dT3aVrd.wav, And just my patient account number is double two double six double nine triple six they drop for,Pt Acc,2269638347323834494915508230950740
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_eCHnbbY.wav, just my CVC is 479,CVC/CVV,479
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_xt0OyCU.wav," Yes, my cvc is 339",CVC/CVV,339
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_uQA5ZoC.wav," Yes, my CVG is triple 3.",CVC/CVV,333
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_BqRTz3E.wav," yes, expired date, let me check, it's May 2031",Exp Date,05/31
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_pgnyOtf.wav," Yes, my expiry date is March 2014",CVC/CVV,2014
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_BgBMmI7.wav," Yes, my expiry date is March 2014",Exp Date,03/14
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_UcdVLym.wav," And yes, my expiry date is March 31",Exp Date,03/25
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_6rv6uTT.wav, yes my expiry date is November 2027,Exp Date,11/27
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_0yFZok6.wav," Yes, my expiry date is November 27th.",Exp Date,11/27/25
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_wStUAun.wav, yes my expiry date is 03 slash 37,Exp Date,03/37
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_0fwZNBX.wav," Yes, max parry date is 02.01.31",Exp Date,02/31
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_DF1q90N.wav," Yes, my expiry date is Feb 2034.",Exp Date,02/34
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_ZylomRA.wav," Hello, I'm Patr1nz I guess, and I'm giving you information about my credit card expiry date and that is November 29th. I got it.",Exp Date,11/25
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_wiZM8xH.wav," Hello, I'm giving you information about my card expiry date that is November 29th.",Exp Date,11/25
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_iMEiIYS.wav," Hello, I'm giving you information about my card expiry date. It is November 29.",Exp Date,11/25
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_dk6ucdB.wav, 40258370-08816769,CC No,4025837008816769
